areaCode,areaName,areaType,date,newDailyNsoDeathsByDeathDate
K02000001,United Kingdom,overview,2022-10-24,107
K02000001,United Kingdom,overview,2022-10-23,103
K02000001,United Kingdom,overview,2022-10-22,112
K02000001,United Kingdom,overview,2022-10-21,112
K02000001,United Kingdom,overview,2022-10-20,123
K02000001,United Kingdom,overview,2022-10-19,102
K02000001,United Kingdom,overview,2022-10-18,109
K02000001,United Kingdom,overview,2022-10-17,117
K02000001,United Kingdom,overview,2022-10-16,108
K02000001,United Kingdom,overview,2022-10-15,109
K02000001,United Kingdom,overview,2022-10-14,116
K02000001,United Kingdom,overview,2022-10-13,112
K02000001,United Kingdom,overview,2022-10-12,127
K02000001,United Kingdom,overview,2022-10-11,110
K02000001,United Kingdom,overview,2022-10-10,94
K02000001,United Kingdom,overview,2022-10-09,101
K02000001,United Kingdom,overview,2022-10-08,92
K02000001,United Kingdom,overview,2022-10-07,101
K02000001,United Kingdom,overview,2022-10-06,97
K02000001,United Kingdom,overview,2022-10-05,99
K02000001,United Kingdom,overview,2022-10-04,92
K02000001,United Kingdom,overview,2022-10-03,83
K02000001,United Kingdom,overview,2022-10-02,64
K02000001,United Kingdom,overview,2022-10-01,81
K02000001,United Kingdom,overview,2022-09-30,65
K02000001,United Kingdom,overview,2022-09-29,67
K02000001,United Kingdom,overview,2022-09-28,62
K02000001,United Kingdom,overview,2022-09-27,70
K02000001,United Kingdom,overview,2022-09-26,66
K02000001,United Kingdom,overview,2022-09-25,41
K02000001,United Kingdom,overview,2022-09-24,49
K02000001,United Kingdom,overview,2022-09-23,54
K02000001,United Kingdom,overview,2022-09-22,50
K02000001,United Kingdom,overview,2022-09-21,37
K02000001,United Kingdom,overview,2022-09-20,50
K02000001,United Kingdom,overview,2022-09-19,49
K02000001,United Kingdom,overview,2022-09-18,40
K02000001,United Kingdom,overview,2022-09-17,40
K02000001,United Kingdom,overview,2022-09-16,39
K02000001,United Kingdom,overview,2022-09-15,49
K02000001,United Kingdom,overview,2022-09-14,45
K02000001,United Kingdom,overview,2022-09-13,50
K02000001,United Kingdom,overview,2022-09-12,43
K02000001,United Kingdom,overview,2022-09-11,31
K02000001,United Kingdom,overview,2022-09-10,48
K02000001,United Kingdom,overview,2022-09-09,38
K02000001,United Kingdom,overview,2022-09-08,47
K02000001,United Kingdom,overview,2022-09-07,61
K02000001,United Kingdom,overview,2022-09-06,40
K02000001,United Kingdom,overview,2022-09-05,39
K02000001,United Kingdom,overview,2022-09-04,46
K02000001,United Kingdom,overview,2022-09-03,54
K02000001,United Kingdom,overview,2022-09-02,48
K02000001,United Kingdom,overview,2022-09-01,44
K02000001,United Kingdom,overview,2022-08-31,75
K02000001,United Kingdom,overview,2022-08-30,44
K02000001,United Kingdom,overview,2022-08-29,54
K02000001,United Kingdom,overview,2022-08-28,61
K02000001,United Kingdom,overview,2022-08-27,58
K02000001,United Kingdom,overview,2022-08-26,44
K02000001,United Kingdom,overview,2022-08-25,50
K02000001,United Kingdom,overview,2022-08-24,53
K02000001,United Kingdom,overview,2022-08-23,78
K02000001,United Kingdom,overview,2022-08-22,65
K02000001,United Kingdom,overview,2022-08-21,61
K02000001,United Kingdom,overview,2022-08-20,76
K02000001,United Kingdom,overview,2022-08-19,69
K02000001,United Kingdom,overview,2022-08-18,63
K02000001,United Kingdom,overview,2022-08-17,56
K02000001,United Kingdom,overview,2022-08-16,71
K02000001,United Kingdom,overview,2022-08-15,89
K02000001,United Kingdom,overview,2022-08-14,90
K02000001,United Kingdom,overview,2022-08-13,92
K02000001,United Kingdom,overview,2022-08-12,108
K02000001,United Kingdom,overview,2022-08-11,99
K02000001,United Kingdom,overview,2022-08-10,77
K02000001,United Kingdom,overview,2022-08-09,90
K02000001,United Kingdom,overview,2022-08-08,100
K02000001,United Kingdom,overview,2022-08-07,100
K02000001,United Kingdom,overview,2022-08-06,66
K02000001,United Kingdom,overview,2022-08-05,87
K02000001,United Kingdom,overview,2022-08-04,85
K02000001,United Kingdom,overview,2022-08-03,108
K02000001,United Kingdom,overview,2022-08-02,102
K02000001,United Kingdom,overview,2022-08-01,93
K02000001,United Kingdom,overview,2022-07-31,98
K02000001,United Kingdom,overview,2022-07-30,79
K02000001,United Kingdom,overview,2022-07-29,118
K02000001,United Kingdom,overview,2022-07-28,126
K02000001,United Kingdom,overview,2022-07-27,115
K02000001,United Kingdom,overview,2022-07-26,121
K02000001,United Kingdom,overview,2022-07-25,114
K02000001,United Kingdom,overview,2022-07-24,133
K02000001,United Kingdom,overview,2022-07-23,128
K02000001,United Kingdom,overview,2022-07-22,117
K02000001,United Kingdom,overview,2022-07-21,127
K02000001,United Kingdom,overview,2022-07-20,191
K02000001,United Kingdom,overview,2022-07-19,225
K02000001,United Kingdom,overview,2022-07-18,127
K02000001,United Kingdom,overview,2022-07-17,159
K02000001,United Kingdom,overview,2022-07-16,122
K02000001,United Kingdom,overview,2022-07-15,105
K02000001,United Kingdom,overview,2022-07-14,127
K02000001,United Kingdom,overview,2022-07-13,136
K02000001,United Kingdom,overview,2022-07-12,154
K02000001,United Kingdom,overview,2022-07-11,128
K02000001,United Kingdom,overview,2022-07-10,117
K02000001,United Kingdom,overview,2022-07-09,110
K02000001,United Kingdom,overview,2022-07-08,109
K02000001,United Kingdom,overview,2022-07-07,102
K02000001,United Kingdom,overview,2022-07-06,116
K02000001,United Kingdom,overview,2022-07-05,102
K02000001,United Kingdom,overview,2022-07-04,91
K02000001,United Kingdom,overview,2022-07-03,69
K02000001,United Kingdom,overview,2022-07-02,91
K02000001,United Kingdom,overview,2022-07-01,79
K02000001,United Kingdom,overview,2022-06-30,76
K02000001,United Kingdom,overview,2022-06-29,84
K02000001,United Kingdom,overview,2022-06-28,72
K02000001,United Kingdom,overview,2022-06-27,64
K02000001,United Kingdom,overview,2022-06-26,69
K02000001,United Kingdom,overview,2022-06-25,73
K02000001,United Kingdom,overview,2022-06-24,48
K02000001,United Kingdom,overview,2022-06-23,62
K02000001,United Kingdom,overview,2022-06-22,73
K02000001,United Kingdom,overview,2022-06-21,58
K02000001,United Kingdom,overview,2022-06-20,48
K02000001,United Kingdom,overview,2022-06-19,47
K02000001,United Kingdom,overview,2022-06-18,44
K02000001,United Kingdom,overview,2022-06-17,45
K02000001,United Kingdom,overview,2022-06-16,57
K02000001,United Kingdom,overview,2022-06-15,45
